Year,County,Count
2003,Erie,20418.83904109589
2003,Essex,2676.785714285714
2003,Franklin,1584.9710144927535
2003,Fulton,3874.2
2003,Genesee,7908.6875
2003,Greene,7871.794117647059
2003,Hamilton,2894.0
2003,Herkimer,5988.985507246377
2003,Jefferson,6915.732758620689
2003,Kings,23442.496551724136
2003,Lewis,1876.8648648648648
2003,Livingston,4392.268292682927
2003,Madison,3013.0251572327043
2003,Monroe,24332.62393162393
2003,Montgomery,7044.690476190476
2003,Nassau,31151.456521739132
2003,New York,60658.73333333333
2003,Niagara,7262.2786885245905
2003,Oneida,8570.226890756303
2003,Onondaga,14306.801418439716
2003,Ontario,10236.838709677419
2003,Orange,18930.933333333334
2003,Orleans,1541.25
2003,Oswego,5715.808510638298
2003,Otsego,2564.330097087379
2003,Putnam,15725.8
2003,Queens,39034.04294478527
2003,Rensselaer,8367.15
2003,Richmond,25079.17948717949
2003,Rockland,24227.62962962963
2003,Saint Lawrence,3109.7450980392155
2003,Saratoga,5852.628571428571
2003,Schenectady,10538.4
2003,Schoharie,5290.416666666667
2003,Schuyler,1066.6914893617022
2003,Seneca,6631.8
2003,Steuben,2559.531073446328
2003,Suffolk,26068.19191919192
2003,Sullivan,3596.392592592593
2003,Tioga,2476.829268292683
2003,Tompkins,10876.047619047618
2003,Ulster,17170.08695652174
2003,Warren,6002.391304347826
2003,Washington,1752.7818181818182
2003,Wayne,3863.897435897436
2003,Westchester,24604.245098039217
2003,Wyoming,2848.814814814815
2003,Yates,2002.55
2004,Albany,17637.23015873016
2004,Allegany,1772.3544303797469
2004,Bronx,22234.880733944956
2004,Broome,9169.692307692309
2004,Cattaraugus,3390.8260869565215
2004,Cayuga,6096.82
2004,Chautauqua,5452.729508196721
2004,Chemung,7333.543689320389
2004,Chenango,1534.7898550724638
2004,Clinton,5495.535714285715
2004,Columbia,5710.25
2004,Cortland,7480.818181818182
2004,Delaware,1633.090909090909
2004,Dutchess,13943.355555555556
2004,Erie,13370.63137254902
2004,Essex,3240.137931034483
2004,Franklin,3234.313432835821
2004,Fulton,2757.1048387096776
2004,Genesee,7891.191489361702
2004,Greene,9865.652173913044
2004,Hamilton,1316.6666666666667
2004,Herkimer,5152.0625
2004,Jefferson,5239.699152542373
2004,Kings,15548.791079812207
2004,Lewis,1175.0727272727272
2004,Livingston,6073.977272727273
2004,Madison,2269.365517241379
2004,Monroe,16487.151750972764
2004,Montgomery,5757.149253731343
2004,Nassau,12939.367123287671
2004,New York,28076.886363636364
2004,Niagara,6998.8705035971225
2004,Oneida,6669.422641509434
2004,Onondaga,11864.407843137255
2004,Ontario,15241.15
2004,Orange,26224.08695652174
2004,Orleans,3323.733333333333
2004,Oswego,5548.864583333333
2004,Otsego,2077.853211009174
2004,Putnam,17647.0
2004,Queens,27780.17711171662
2004,Rensselaer,5559.165413533835
2004,Richmond,27794.671641791047
2004,Rockland,34414.40909090909
2004,Saint Lawrence,1932.3417721518988
2004,Saratoga,5741.193548387097
2004,Schenectady,14868.804347826086
2004,Schoharie,2157.483333333333
2004,Schuyler,883.0
2004,Seneca,5893.125
2004,Steuben,6134.064516129032
2004,Suffolk,17726.286075949367
2004,Sullivan,3663.2602739726026
2004,Tioga,3581.8571428571427
2004,Tompkins,9313.542372881357
2004,Ulster,17840.896551724138
2004,Warren,8758.514285714286
2004,Washington,2525.5692307692307
2004,Wayne,7495.619047619048
2004,Westchester,20605.84375
2004,Wyoming,4336.0625
2004,Yates,1218.4054054054054
2005,Albany,22840.495145631066
2005,Allegany,1525.6582278481012
2005,Bronx,30829.77099236641
2005,Broome,7273.111801242236
2005,Cattaraugus,2425.227722772277
2005,Cayuga,6256.767441860465
2005,Chautauqua,3475.6508620689656
2005,Chemung,6534.653333333334
2005,Chenango,1334.57
