Year,County,type,Count
1979,Livingston,1,0.0
1979,Livingston,2,9.951923076923077
1979,Madison,0,1494.6666666666667
1979,Madison,1,7.054545454545455
1979,Madison,2,2.1476510067114094
1979,Monroe,0,4463.704414587332
1979,Monroe,1,183.41107871720118
1979,Monroe,2,59.295252225519285
1979,Montgomery,0,2824.378698224852
1979,Montgomery,1,0.0
1979,Montgomery,2,1113.3079847908746
1979,Nassau,0,6816.72064777328
1979,Nassau,1,268.4555984555985
1979,Nassau,2,0.9373753490227363
1979,New York,0,18573.0
1979,New York,2,94.8596321393998
1979,Niagara,0,2966.9565217391305
1979,Niagara,1,0.0
1979,Niagara,2,4.652725914861837
1979,Oneida,0,1420.5898876404494
1979,Oneida,1,101.0204081632653
1979,Oneida,2,331.23056994818654
1979,Onondaga,0,4631.818181818182
1979,Onondaga,1,141.70854271356785
1979,Onondaga,2,82.64950166112956
1979,Ontario,0,4316.545454545455
1979,Ontario,1,40.23529411764706
1979,Ontario,2,6.902654867256637
1979,Orange,0,6826.961538461538
1979,Orange,1,4.090909090909091
1979,Orange,2,8.1651376146789
1979,Orleans,0,961.2307692307693
1979,Orleans,1,0.0
1979,Orleans,2,0.0
1979,Oswego,0,2568.0165289256197
1979,Oswego,1,66.14035087719299
1979,Oswego,2,0.0
1979,Otsego,0,1802.5196850393702
1979,Otsego,1,0.0
1979,Otsego,2,0.0
1979,Putnam,0,3169.375
1979,Putnam,1,67.3529411764706
1979,Putnam,2,0.0
1979,Queens,0,6846.725146198831
1979,Queens,2,22.941176470588236
1979,Rensselaer,0,11363.664383561643
1979,Rensselaer,1,121.56976744186046
1979,Rensselaer,2,13.402489626556017
1979,Richmond,0,19484.21052631579
1979,Richmond,2,0.0
1979,Rockland,0,7980.0
1979,Rockland,1,119.12087912087912
1979,Rockland,2,11.30890052356021
1979,Saint Lawrence,0,1234.567901234568
1979,Saint Lawrence,1,3.1768953068592056
1979,Saint Lawrence,2,0.0
1979,Saratoga,0,2920.6508875739646
1979,Saratoga,1,40.31496062992126
1979,Saratoga,2,37.2967032967033
1979,Schenectady,0,4600.810810810811
1979,Schenectady,1,303.86138613861385
1979,Schenectady,2,0.8152173913043478
1979,Schoharie,0,1193.3783783783783
1979,Schoharie,1,0.0
1979,Schoharie,2,0.0
1979,Schuyler,0,699.6
1979,Schuyler,1,0.0
1979,Schuyler,2,0.0
1979,Seneca,0,1892.340425531915
1979,Seneca,1,0.0
1979,Seneca,2,0.0
1979,Steuben,0,1865.6462585034014
1979,Steuben,1,1.0784313725490196
1979,Steuben,2,60.21459227467811
1979,Suffolk,0,2524.244604316547
1979,Suffolk,1,191.43589743589743
1979,Suffolk,2,24.124668435013263
1979,Sullivan,0,2062.233009708738
1979,Sullivan,1,0.0
1979,Sullivan,2,0.0
1979,Tioga,0,4251.829268292683
1979,Tioga,1,0.0
1979,Tioga,2,1.7010309278350515
1979,Tompkins,0,255.44554455445544
1979,Tompkins,1,13.2319391634981
1979,Tompkins,2,16.022727272727273
